YEAR,QUARTER,RECESS1,RECESS2,RECESS3,RECESS4,RECESS5,,,
1968,4,2.83,17.69,19.81,12.64,9.29,,,1 is quarter before
1969,1,6.66,17.42,15.73,11.81,#N/A,,,2 is current quarter
1969,2,0.52,4.91,13.00,22.09,20.69,,,3 is next quarter and so on
1969,3,12.73,24.32,30.47,23.61,#N/A,,,A is current yer
1969,4,29.30,44.23,39.84,21.82,12.54,,,B is next year
1970,1,62.13,45.88,25.63,14.04,#N/A,,,
1970,2,49.00,29.09,16.62,9.38,10.00,,,
1970,3,29.36,23.64,17.11,9.73,6.64,,,
1970,4,57.07,13.07,11.00,16.74,12.77,,,
1971,1,5.20,6.80,21.63,8.91,7.00,,,
1971,2,3.89,18.00,6.28,4.56,4.51,,,
1971,3,11.70,8.03,7.98,8.57,7.86,,,
1971,4,3.67,5.03,5.45,6.09,7.55,,,
1972,1,3.89,4.67,5.00,6.17,9.05,,,
1972,2,1.83,3.07,4.63,6.70,8.46,,,
1972,3,2.10,3.53,6.37,7.25,9.94,,,
1972,4,1.00,2.16,4.03,8.92,13.15,,,
1973,1,2.09,3.49,6.25,11.31,16.11,,,
1973,2,2.77,6.52,13.53,22.63,27.45,,,
1973,3,3.16,12.22,26.13,28.38,24.78,,,
1973,4,15.16,47.35,48.82,30.32,22.81,,,
1974,1,70.83,52.51,30.16,17.67,12.67,,,
1974,2,50.86,30.24,21.10,16.71,13.12,,,
1974,3,45.63,34.81,23.83,18.56,#N/A,,,
1974,4,88.49,74.06,48.91,28.17,17.92,,,
1975,1,88.72,60.50,36.20,22.28,15.00,,,
1975,2,61.89,31.20,17.80,12.87,11.13,,,
1975,3,19.44,10.82,8.26,8.59,11.41,,,
1975,4,10.06,12.51,12.70,15.47,18.74,,,
1976,1,4.29,6.88,8.19,11.65,16.27,,,
1976,2,1.76,3.29,5.57,9.10,12.84,,,
1976,3,4.42,6.25,9.36,12.22,16.11,,,
1976,4,6.17,6.97,8.06,10.00,13.39,,,
1977,1,10.65,5.40,5.53,6.35,10.98,,,
1977,2,1.56,3.95,7.59,13.29,16.83,,,
1977,3,4.46,8.03,14.89,19.86,23.05,,,
1977,4,4.14,9.64,14.31,18.45,22.69,,,
1978,1,3.42,6.65,10.81,17.88,23.19,,,
1978,2,2.81,8.69,13.28,20.56,26.06,,,
1978,3,5.07,10.96,24.04,29.48,31.48,,,
1978,4,4.72,21.38,33.45,35.52,33.34,,,
1979,1,12.09,23.79,40.24,36.18,30.21,,,
1979,2,18.89,39.57,45.51,36.31,26.68,,,
1979,3,70.24,67.24,52.58,29.55,16.78,,,
1979,4,65.42,70.13,58.80,32.83,17.60,,,
1980,1,35.19,50.56,51.41,36.07,29.04,,,
1980,2,83.57,69.68,52.96,33.39,22.39,,,
1980,3,75.00,52.17,33.26,18.70,10.00,,,
1980,4,24.86,37.76,25.25,15.54,14.00,,,
1981,1,23.89,33.40,17.51,10.71,8.65,,,
1981,2,33.26,20.23,12.58,11.18,12.32,,,
1981,3,61.84,35.18,25.56,21.96,17.78,,,
1981,4,85.44,58.11,34.29,19.73,14.86,,,
1982,1,86.06,44.85,21.88,20.17,21.41,,,
1982,2,57.67,29.75,17.31,21.78,24.35,,,
1982,3,20.70,30.15,20.74,20.41,19.82,,,
1982,4,33.41,38.38,27.43,19.70,17.27,,,
1983,1,11.31,13.81,14.00,14.47,14.50,,,
1983,2,3.31,6.59,9.18,12.41,12.85,,,
1983,3,7.67,10.10,17.41,19.52,19.62,,,
1983,4,7.00,10.36,12.35,14.82,17.91,,,
1984,1,5.07,10.04,14.83,19.85,23.56,,,
1984,2,8.27,11.63,16.19,22.83,30.83,,,
1984,3,6.89,13.82,15.63,20.56,30.00,,,
1984,4,22.88,22.44,19.44,19.70,21.67,,,
1985,1,5.75,9.90,13.33,17.95,22.00,,,
1985,2,9.24,12.59,14.86,20.34,25.34,,,
1985,3,11.70,15.19,19.41,23.22,27.19,,,
1985,4,6.28,13.08,16.88,18.72,21.08,,,
1986,1,5.58,10.46,10.65,15.08,21.15,,,
1986,2,11.15,9.81,12.37,18.22,23.63,,,
1986,3,18.19,18.05,22.71,22.52,23.86,,,
1986,4,8.78,21.39,18.26,16.43,16.39,,,
1987,1,8.39,10.33,13.00,15.06,21.06,,,
1987,2,13.21,12.36,15.61,20.89,26.14,,,
1987,3,6.90,8.40,11.65,21.00,26.10,,,
1987,4,13.72,29.61,29.89,21.61,26.39,,,
1988,1,35.00,32.35,22.94,22.82,26.47,,,
1988,2,9.13,14.50,18.00,25.38,28.94,,,
1988,3,5.81,9.06,14.81,21.81,25.69,,,
1988,4,6.46,10.08,19.08,21.54,23.85,,,
1989,1,4.50,14.50,19.56,29.56,31.56,,,
1989,2,14.12,17.94,24.35,28.24,28.82,,,
1989,3,11.86,16.71,22.79,29.43,29.14,,,
1989,4,25.73,30.53,26.20,20.60,16.93,,,
1990,1,20.36,22.50,16.93,16.43,17.71,,,
1990,2,11.43,17.86,30.71,26.43,20.00,,,
1990,3,28.46,41.54,36.54,30.00,22.31,,,
1990,4,71.13,70.00,54.50,34.17,21.33,,,
1991,1,86.38,60.59,33.97,19.12,12.94,,,
1991,2,60.18,31.25,17.13,11.65,10.78,,,
1991,3,19.18,20.36,17.32,15.29,15.79,,,
1991,4,32.94,26.86,15.42,13.00,11.72,,,
1992,1,43.03,25.13,13.29,10.55,9.97,,,
1992,2,9.08,11.56,11.56,11.11,12.61,,,
1992,3,13.53,16.88,13.72,12.38,11.06,,,
1992,4,12.16,11.73,11.82,10.43,10.84,,,
1993,1,3.62,6.15,7.55,9.42,11.06,,,
1993,2,7.86,7.82,9.67,12.82,14.58,,,
1993,3,7.01,9.82,14.03,16.47,14.74,,,
1993,4,3.34,7.61,12.96,12.75,12.74,,,
1994,1,4.30,4.04,6.81,7.37,10.00,,,
1994,2,2.88,6.48,9.24,12.82,14.42,,,
1994,3,6.36,8.25,13.42,15.77,16.79,,,
1994,4,2.28,8.48,12.91,16.31,19.74,,,
1995,1,1.94,7.06,10.94,14.62,16.77,,,
1995,2,12.41,12.82,13.48,17.32,20.16,,,
1995,3,10.38,12.17,15.70,16.83,18.92,,,
1995,4,8.94,12.68,17.77,20.28,22.49,,,
1996,1,28.20,19.03,16.88,17.76,20.59,,,
1996,2,4.98,9.87,14.86,18.81,23.05,,,
1996,3,6.82,10.46,15.81,20.28,23.46,,,
1996,4,7.81,11.19,15.56,21.33,22.88,,,
1997,1,7.09,11.35,15.32,18.54,21.56,,,
1997,2,9.20,10.53,13.39,19.52,22.63,,,
1997,3,3.53,7.56,12.89,16.54,19.94,,,
1997,4,3.66,9.94,13.20,16.54,19.20,,,
1998,1,4.37,8.33,11.60,14.10,15.43,,,
1998,2,5.41,7.56,12.26,15.85,17.93,,,
1998,3,12.73,13.27,17.55,18.52,18.67,,,
1998,4,5.79,15.61,19.51,21.09,19.95,,,
1999,1,3.40,8.17,12.47,15.10,27.47,,,
1999,2,2.88,5.70,8.73,26.06,20.33,,,
1999,3,2.50,6.88,24.88,17.91,17.21,,,
1999,4,2.43,17.89,13.84,14.26,16.21,,,
2000,1,5.18,6.64,9.67,13.15,17.36,,,
2000,2,1.65,4.65,9.32,15.35,18.10,,,
2000,3,2.95,6.53,13.07,15.55,17.47,,,
2000,4,4.09,10.91,16.84,18.59,19.19,,,
2001,1,36.52,31.65,22.68,17.90,12.72,,,
2001,2,31.54,28.82,23.43,17.75,13.04,,,
2001,3,34.59,26.03,20.31,15.86,14.59,,,
2001,4,81.76,48.80,27.20,18.40,15.63,,,
2002,1,32.84,29.45,20.13,14.30,12.93,,,
2002,2,12.82,14.38,11.85,9.44,8.97,,,
2002,3,15.21,18.61,16.43,15.54,13.75,,,
2002,4,26.61,24.14,18.43,15.04,13.68,,,
2003,1,20.24,21.40,17.62,13.80,11.54,,,
2003,2,20.26,14.10,12.74,10.94,10.42,,,
2003,3,5.15,6.88,8.69,9.42,9.73,,,
2003,4,4.00,6.35,7.81,9.29,10.13,,,
2004,1,2.18,4.68,6.18,8.25,9.75,,,
2004,2,1.45,4.34,7.14,10.24,11.76,,,
2004,3,3.90,6.39,7.71,10.14,11.21,,,
2004,4,3.47,9.61,11.05,11.30,12.45,,,
2005,1,5.19,8.06,9.96,11.55,13.14,,,
2005,2,4.24,6.77,9.37,10.61,11.77,,,
2005,3,2.22,5.41,9.25,12.05,13.82,,,
2005,4,6.06,7.57,9.77,12.41,13.96,,,
2006,1,2.84,6.99,10.76,13.72,16.71,,,
2006,2,3.12,6.96,10.96,14.67,17.08,,,
2006,3,5.21,9.66,16.23,19.27,20.64,,,
2006,4,9.16,14.98,17.20,18.36,18.82,,,
2007,1,8.28,13.14,13.82,14.93,15.00,,,
2007,2,11.75,14.00,15.42,16.31,16.63,,,
2007,3,12.44,16.95,19.14,18.73,18.68,,,
2007,4,18.89,22.51,21.50,20.07,19.93,,,
2008,1,47.31,42.91,29.91,22.89,20.57,,,
2008,2,49.07,28.67,29.87,24.27,18.84,,,
2008,3,34.09,46.57,32.89,22.39,17.44,,,
2008,4,90.14,74.78,49.35,32.76,23.61,,,
2009,1,94.41,73.98,44.66,29.90,21.55,,,
2009,2,78.91,46.47,26.91,17.53,14.37,,,
2009,3,25.88,23.73,17.83,15.86,13.49,,,
2009,4,15.35,15.88,13.98,13.83,13.36,,,
2010,1,9.85,11.62,13.18,14.03,14.82,,,
2010,2,7.44,9.81,12.27,14.07,14.75,,,
2010,3,13.99,16.81,16.52,15.04,14.93,,,
2010,4,10.97,12.88,13.62,13.18,13.76,,,
2011,1,6.32,7.08,9.26,10.73,11.38,,,
2011,2,6.96,8.47,10.17,12.16,12.08,,,
2011,3,17.20,20.92,20.77,19.36,18.97,,,
2011,4,11.82,16.57,17.27,17.05,16.98,,,
2012,1,9.51,13.41,14.74,14.78,15.77,,,
2012,2,9.80,12.16,14.45,17.30,17.77,,,
2012,3,13.83,16.99,21.22,20.97,19.10,,,
2012,4,13.49,23.04,21.67,17.88,16.37,,,
2013,1,15.32,17.99,15.21,13.64,13.16,,,
2013,2,14.59,14.32,13.10,13.40,12.46,,,
2013,3,10.49,11.21,11.66,11.51,11.79,,,
2013,4,11.27,11.12,11.62,11.73,12.21,,,
2014,1,11.17,9.30,10.55,11.37,11.71,,,
2014,2,8.32,10.06,10.84,12.21,12.81,,,
2014,3,7.63,9.74,11.29,11.87,13.47,,,
2014,4,8.12,10.32,11.39,12.59,13.51,,,
2015,1,7.90,9.30,11.14,11.85,13.20,,,
2015,2,11.24,11.03,11.99,14.82,15.19,,,
2015,3,7.48,10.04,13.68,12.96,13.56,,,
2015,4,7.73,13.00,12.56,13.73,14.66,,,
2016,1,14.38,14.69,15.79,17.04,18.76,,,
2016,2,12.52,14.63,15.90,17.40,18.46,,,
2016,3,10.58,15.64,18.52,19.03,20.98,,,
2016,4,9.88,13.95,14.99,16.53,18.85,,,
2017,1,7.68,11.21,14.61,16.15,17.73,,,
2017,2,8.43,10.92,14.01,17.05,17.16,,,
2017,3,6.74,10.46,14.24,15.94,18.12,,,
2017,4,6.29,10.44,12.64,14.69,17.05,,,
2018,1,5.81,9.08,11.43,13.60,16.78,,,
2018,2,5.33,8.59,11.08,14.41,15.64,,,
2018,3,6.55,10.53,13.23,16.41,19.63,,,
2018,4,5.66,10.60,13.62,19.09,22.79,,,
2019,1,16.70,11.24,14.45,17.93,21.90,,,
2019,2,11.90,13.14,15.85,19.44,22.79,,,
2019,3,11.71,14.25,17.59,21.49,26.09,,,
2019,4,12.84,18.14,20.78,22.56,25.12,,,
2020,1,12.54,14.88,18.36,21.28,25.68,,,
2020,2,98.11,43.77,27.15,22.31,18.14,,,